audio_path,audio_filename,subtitle,text_for_tts
\voice\pitradio\a_tenth,1.wav,a tenth,a tenth
\voice\pitradio\a_tenth,2.wav,a tenth,a tenth
\voice\pitradio\a_tenth,3.wav,a tenth,a tenth
\voice\pitradio\best,1.wav,best,best
\voice\pitradio\best,2.wav,best,best
\voice\pitradio\best,3.wav,best,best
\voice\pitradio\best_lap,1.wav,best lap,best lap
\voice\pitradio\best_lap,2.wav,best lap,best lap
\voice\pitradio\best_lap,3.wav,best lap,best lap
\voice\pitradio\better_entry,1.wav,better entry,better entry
\voice\pitradio\better_entry,2.wav,better entry,better entry
\voice\pitradio\better_entry,3.wav,better entry,better entry
\voice\pitradio\blue_flag,1.wav,blue flag,blue flag
\voice\pitradio\blue_flag,2.wav,blue flag,blue flag
\voice\pitradio\blue_flag,3.wav,blue flag,blue flag
\voice\pitradio\car_left,1.wav,car left,car left
\voice\pitradio\car_left,2.wav,car left,car left
\voice\pitradio\car_left,3.wav,car left,car left
\voice\pitradio\car_right,1.wav,car right,car right
\voice\pitradio\car_right,2.wav,car right,car right
\voice\pitradio\car_right,3.wav,car right,car right
\voice\pitradio\car_stopped_ahead,1.wav,car stopped ahead,car stopped ahead
\voice\pitradio\car_stopped_ahead,2.wav,car stopped ahead,car stopped ahead
\voice\pitradio\car_stopped_ahead,3.wav,car stopped ahead,car stopped ahead
\voice\pitradio\car_stopped_in,1.wav,car stopped in,car stopped in
\voice\pitradio\car_stopped_in,2.wav,car stopped in,car stopped in
\voice\pitradio\car_stopped_in,3.wav,car stopped in,car stopped in
\voice\pitradio\clear,1.wav,clear,clear
\voice\pitradio\clear,2.wav,clear,clear
\voice\pitradio\clear,3.wav,clear,clear
\voice\pitradio\clear_all_round,1.wav,clear all round,clear all round
\voice\pitradio\clear_all_round,2.wav,clear all round,clear all round
\voice\pitradio\clear_all_round,3.wav,clear all round,clear all round
\voice\pitradio\clear_left,1.wav,clear left,clear left
\voice\pitradio\clear_left,2.wav,clear left,clear left
\voice\pitradio\clear_left,3.wav,clear left,clear left
\voice\pitradio\clear_right,1.wav,clear right,clear right
\voice\pitradio\clear_right,2.wav,clear right,clear right
\voice\pitradio\clear_right,3.wav,clear right,clear right
\voice\pitradio\clear_to_go,1.wav,clear to go,clear to go
\voice\pitradio\clear_to_go,2.wav,clear to go,clear to go
\voice\pitradio\clear_to_go,3.wav,clear to go,clear to go
\voice\pitradio\down,1.wav,down,down
\voice\pitradio\down,2.wav,down,down
\voice\pitradio\down,3.wav,down,down
\voice\pitradio\eight,1.wav,eight,eight
\voice\pitradio\eight,2.wav,eight,eight
\voice\pitradio\eight,3.wav,eight,eight
\voice\pitradio\eighteen,1.wav,eighteen,eighteen
\voice\pitradio\eighteen,2.wav,eighteen,eighteen
\voice\pitradio\eighteen,3.wav,eighteen,eighteen
\voice\pitradio\eighty,1.wav,eighty,eighty
\voice\pitradio\eighty,2.wav,eighty,eighty
\voice\pitradio\eighty,3.wav,eighty,eighty
